번호,대리점,이름,연락처,생년월일,주소,면허종류,흡연유무,탁송보험,사고점수,평점,고객리뷰,신뢰도,등급,비고
26_30,서울동부대리점,송지아,010-2533-1203,591025,서울동부 중앙9길 13,2종 보통,무,현대해상,6,96,94,96,C,
26_31,서울동부대리점,강지수,010-2323-3494,771014,서울동부 효자동 123-9,2종 보통,무,현대해상,2,99,99,94,C,
26_32,서울동부대리점,이서준,010-1113-8329,541056,서울동부 중앙9길 13,1종 보통,무,KB손해,3,92,94,92,A,
26_33,서울동부대리점,송지아,010-6095-3007,661182,서울동부 중앙9길 13,2종 보통,무,KB손해,8,90,96,91,B,
26_34,서울동부대리점,한서아,010-8430-3514,741224,서울동부 효자동 123-9,1종 보통,무,KB손해,6,98,92,98,A,
26_35,서울동부대리점,강지수,010-9006-9559,781227,서울동부 효자동 123-9,1종 대형,무,DB손해,10,98,97,93,C,
26_36,서울동부대리점,송지아,010-7313-8741,881057,서울동부 중앙9길 13,1종 보통,무,현대해상,6,91,91,93,A,
26_37,서울동부대리점,최이안,010-5645-4428,531200,서울동부 중앙9길 13,1종 대형,무,현대해상,9,95,91,97,A,
26_38,서울동부대리점,이서준,010-3586-8327,711183,서울동부 강남대로 100,1종 보통,무,DB손해,0,99,95,97,B,
26_39,서울동부대리점,한서아,010-4138-4447,731212,서울동부 효자동 123-9,1종 대형,무,KB손해,1,93,92,92,B,
26_40,서울동부대리점,장병국,010-2821-6986,891188,서울동부 강남대로 100,1종 보통,무,DB손해,2,91,93,91,C,
26_41,서울동부대리점,송지아,010-1914-1873,701194,서울동부 효자동 123-9,1종 보통,무,DB손해,5,96,90,97,A,
26_42,서울동부대리점,김민준,010-6866-1575,711197,서울동부 효자동 123-9,1종 대형,무,KB손해,10,96,94,93,A,
26_43,서울동부대리점,송지아,010-4955-5593,931204,서울동부 강남대로 100,2종 보통,무,현대해상,4,100,91,92,A,
26_44,서울동부대리점,박도현,010-1935-5989,681045,서울동부 중앙9길 13,1종 보통,무,KB손해,5,100,93,96,A,
26_45,서울동부대리점,한서아,010-6830-2059,581043,서울동부 강남대로 100,1종 대형,무,현대해상,2,100,92,97,B,
26_46,서울동부대리점,송지아,010-2372-5458,851070,서울동부 강남대로 100,2종 보통,무,현대해상,9,92,99,94,B,
26_47,서울동부대리점,강지수,010-6689-7427,771004,서울동부 효자동 123-9,2종 보통,무,KB손해,3,97,99,93,C,
26_48,서울동부대리점,김민준,010-1996-4587,781131,서울동부 강남대로 100,2종 보통,무,KB손해,1,95,91,92,C,
26_49,서울동부대리점,장병국,010-2175-1865,921020,서울동부 중앙9길 13,1종 대형,무,DB손해,2,97,93,95,B,
26_50,서울동부대리점,최이안,010-5018-9237,901212,서울동부 중앙9길 13,1종 보통,무,현대해상,4,99,97,98,A,
26_51,서울동부대리점,이서준,010-2634-9404,881007,서울동부 강남대로 100,2종 보통,무,DB손해,1,91,97,99,B,
26_52,서울동부대리점,김민준,010-6415-8194,881038,서울동부 강남대로 100,1종 보통,무,KB손해,0,90,92,92,B,
26_53,서울동부대리점,강지수,010-6363-2752,791112,서울동부 강남대로 100,1종 대형,무,현대해상,2,90,95,91,C,
26_54,서울동부대리점,정하윤,010-3027-8617,581033,서울동부 효자동 123-9,1종 대형,무,KB손해,5,98,100,96,C,
26_55,서울동부대리점,송지아,010-9888-9930,641039,서울동부 강남대로 100,2종 보통,무,KB손해,10,100,92,95,A,
26_56,서울동부대리점,김민준,010-6726-8197,841016,서울동부 강남대로 100,1종 보통,무,KB손해,5,92,95,97,A,
26_57,서울동부대리점,강지수,010-7276-3749,931038,서울동부 효자동 123-9,2종 보통,무,KB손해,6,98,95,96,C,
26_58,서울동부대리점,최이안,010-7158-1866,501155,서울동부 중앙9길 13,1종 보통,무,KB손해,9,100,93,91,A,
26_59,서울동부대리점,한서아,010-8780-2853,611208,서울동부 강남대로 100,2종 보통,무,DB손해,9,97,90,95,C,
26_60,서울동부대리점,이서준,010-9572-2403,801110,서울동부 중앙9길 13,1종 대형,무,KB손해,10,97,100,93,C,
26_61,서울동부대리점,박도현,010-8739-4718,731225,서울동부 효자동 123-9,1종 대형,무,DB손해,5,96,95,99,B,
26_62,서울동부대리점,한서아,010-3196-3114,711076,서울동부 중앙9길 13,1종 대형,무,DB손해,8,90,95,92,A,
26_63,서울동부대리점,한서아,010-9864-5383,971030,서울동부 효자동 123-9,1종 보통,무,KB손해,7,93,94,98,B,
26_64,서울동부대리점,강지수,010-7258-6995,751056,서울동부 중앙9길 13,1종 대형,무,현대해상,3,95,94,98,C,
26_65,서울동부대리점,정하윤,010-6416-9199,761100,서울동부 중앙9길 13,1종 대형,무,KB손해,5,90,90,96,B,
26_66,서울동부대리점,김민준,010-8153-5271,581009,서울동부 강남대로 100,1종 보통,무,KB손해,6,93,100,97,B,
26_67,서울동부대리점,장병국,010-9511-7066,981065,서울동부 강남대로 100,1종 대형,무,DB손해,9,98,99,97,A,
26_68,서울동부대리점,송지아,010-2571-3520,671172,서울동부 강남대로 100,2종 보통,무,KB손해,9,98,98,91,A,
26_69,서울동부대리점,김민준,010-6971-4734,711092,서울동부 중앙9길 13,1종 보통,무,KB손해,8,90,93,99,C,
26_70,서울동부대리점,장병국,010-8433-7900,941012,서울동부 효자동 123-9,2종 보통,무,현대해상,4,96,100,97,A,
26_71,서울동부대리점,박도현,010-7644-3670,521010,서울동부 중앙9길 13,1종 대형,무,DB손해,5,100,100,94,A,
26_72,서울동부대리점,최이안,010-3382-3663,651078,서울동부 중앙9길 13,2종 보통,무,DB손해,1,99,91,94,C,
26_73,서울동부대리점,장병국,010-1852-1309,641097,서울동부 강남대로 100,2종 보통,무,현대해상,5,97,91,92,B,
26_74,서울동부대리점,정하윤,010-2281-2995,761200,서울동부 중앙9길 13,2종 보통,무,DB손해,10,100,90,90,A,
26_75,서울동부대리점,박도현,010-2161-5127,811141,서울동부 효자동 123-9,1종 보통,무,KB손해,0,95,90,90,A,
26_76,서울동부대리점,장병국,010-1253-3492,521003,서울동부 효자동 123-9,1종 보통,무,현대해상,10,95,94,95,C,
26_77,서울동부대리점,한서아,010-3037-5811,581046,서울동부 효자동 123-9,1종 대형,무,KB손해,2,97,98,95,C,
26_78,서울동부대리점,김민준,010-9153-3121,531212,서울동부 효자동 123-9,1종 대형,무,DB손해,8,90,94,98,B,
26_79,서울동부대리점,장병국,010-9409-3825,571121,서울동부 중앙9길 13,1종 보통,무,DB손해,6,96,97,100,A,
26_80,서울동부대리점,이서준,010-4665-4935,761088,서울동부 강남대로 100,2종 보통,무,현대해상,0,95,98,99,A,
26_81,서울동부대리점,장병국,010-8356-1480,941113,서울동부 효자동 123-9,1종 대형,무,현대해상,7,90,97,94,B,
26_82,서울동부대리점,송지아,010-1677-4563,831086,서울동부 효자동 123-9,1종 대형,무,DB손해,6,94,98,100,B,
26_83,서울동부대리점,장병국,010-5910-5738,541172,서울동부 중앙9길 13,1종 보통,무,KB손해,10,100,94,99,B,
26_84,서울동부대리점,송지아,010-9884-6765,691172,서울동부 효자동 123-9,2종 보통,무,현대해상,7,90,98,100,C,
26_85,서울동부대리점,장병국,010-8831-3053,561064,서울동부 효자동 123-9,1종 보통,무,DB손해,7,96,99,94,A,
26_86,서울동부대리점,장병국,010-7818-5285,851123,서울동부 중앙9길 13,1종 보통,무,현대해상,7,93,93,90,B,
26_87,서울동부대리점,김민준,010-9524-4550,911224,서울동부 효자동 123-9,1종 대형,무,현대해상,7,92,90,94,B,
26_88,서울동부대리점,이서준,010-6036-4672,501087,서울동부 중앙9길 13,1종 대형,무,KB손해,6,93,98,97,A,
26_89,서울동부대리점,박도현,010-4350-9524,571038,서울동부 효자동 123-9,1종 보통,무,DB손해,3,96,90,99,B,
26_90,서울동부대리점,정하윤,010-1849-9242,511118,서울동부 중앙9길 13,2종 보통,무,DB손해,9,95,96,97,C,
26_91,서울동부대리점,강지수,010-4728-5031,731123,서울동부 효자동 123-9,1종 대형,무,KB손해,5,95,93,93,B,
26_92,서울동부대리점,강지수,010-6313-1405,901179,서울동부 효자동 123-9,1종 대형,무,DB손해,4,98,96,96,A,
26_93,서울동부대리점,장병국,010-2703-3966,901107,서울동부 중앙9길 13,1종 보통,무,DB손해,1,96,92,93,A,
26_94,서울동부대리점,강지수,010-3397-8574,881223,서울동부 효자동 123-9,1종 대형,무,DB손해,6,97,99,99,A,
26_95,서울동부대리점,장성우,010-2434-3826,841046,서울동부 효자동 123-9,1종 대형,무,현대해상,8,90,99,91,A,
26_96,서울동부대리점,김민준,010-9219-7571,601104,서울동부 중앙9길 13,1종 대형,무,DB손해,4,96,93,93,C,
26_97,서울동부대리점,정하윤,010-5001-9139,621139,서울동부 중앙9길 13,1종 보통,무,현대해상,4,99,93,92,B,
26_98,서울동부대리점,장병국,010-4690-7511,941191,서울동부 강남대로 100,1종 대형,무,KB손해,1,95,94,93,A,
26_99,서울동부대리점,장성우,010-5432-4813,621087,서울동부 효자동 123-9,2종 보통,무,DB손해,10,94,96,94,A,
26_100,서울동부대리점,장병국,010-5674-6984,561086,서울동부 효자동 123-9,1종 보통,무,KB손해,2,94,95,97,C,
26_101,성남태평대리점,최이안,010-3886-4979,711052,성남태평 효자동 123-9,1종 보통,무,KB손해,1,98,100,94,B,
26_102,성남태평대리점,이서준,010-8132-7588,631164,성남태평 강남대로 100,1종 보통,무,KB손해,0,90,96,98,C,
26_103,성남태평대리점,정하윤,010-3322-2878,971010,성남태평 중앙9길 13,1종 대형,무,KB손해,7,98,94,95,C,
26_104,성남태평대리점,장병국,010-6949-2942,681061,성남태평 중앙9길 13,1종 대형,무,DB손해,10,100,93,97,C,
26_105,성남태평대리점,박도현,010-4136-7517,891028,성남태평 강남대로 100,2종 보통,무,KB손해,9,93,91,99,A,
26_106,성남태평대리점,장병국,010-1988-9743,601179,성남태평 강남대로 100,1종 대형,무,KB손해,3,91,100,100,A,
26_107,성남태평대리점,최이안,010-3835-2534,761055,성남태평 중앙9길 13,1종 보통,무,KB손해,5,99,94,93,B,
26_108,성남태평대리점,장성우,010-2512-7832,971006,성남태평 강남대로 100,2종 보통,무,DB손해,6,99,96,93,B,
26_109,성남태평대리점,강지수,010-2439-9457,951217,성남태평 강남대로 100,1종 보통,무,현대해상,2,97,94,99,C,
26_110,성남태평대리점,김민준,010-1388-2065,731218,성남태평 강남대로 100,1종 보통,무,KB손해,5,93,100,93,B,
26_111,성남태평대리점,이서준,010-6159-3351,901187,성남태평 강남대로 100,1종 보통,무,KB손해,9,94,99,96,C,
26_112,성남태평대리점,이서준,010-8731-3066,561014,성남태평 강남대로 100,1종 보통,무,현대해상,8,96,99,99,C,
26_113,성남태평대리점,정하윤,010-2633-6398,931092,성남태평 중앙9길 13,1종 대형,무,DB손해,7,93,99,99,B,
26_114,성남태평대리점,한서아,010-4746-8255,701039,성남태평 강남대로 100,2종 보통,무,DB손해,9,94,99,94,A,
26_115,성남태평대리점,이서준,010-9129-9862,931206,성남태평 중앙9길 13,1종 대형,무,KB손해,0,100,96,90,C,
26_116,성남태평대리점,송지아,010-5023-4056,871213,성남태평 효자동 123-9,1종 대형,무,KB손해,1,91,93,92,B,
26_117,성남태평대리점,박도현,010-4735-1037,941190,성남태평 중앙9길 13,1종 대형,무,DB손해,6,90,99,91,A,
26_118,성남태평대리점,강지수,010-1036-8302,721122,성남태평 중앙9길 13,1종 보통,무,KB손해,6,95,94,92,C,
26_119,성남태평대리점,장병국,010-4739-7815,931034,성남태평 강남대로 100,1종 보통,무,DB손해,2,95,93,90,A,
26_120,성남태평대리점,장성우,010-7857-8915,741138,성남태평 강남대로 100,1종 보통,무,현대해상,3,95,97,98,C,
26_121,성남태평대리점,강지수,010-1646-7813,741160,성남태평 중앙9길 13,1종 보통,무,현대해상,10,100,97,96,C,
26_122,성남태평대리점,최이안,010-4357-2478,511078,성남태평 중앙9길 13,1종 대형,무,DB손해,9,93,91,90,C,
26_123,성남태평대리점,장성우,010-7394-7747,791034,성남태평 효자동 123-9,1종 보통,무,DB손해,0,90,97,97,A,
26_124,성남태평대리점,송지아,010-8382-8946,851134,성남태평 효자동 123-9,1종 대형,무,현대해상,3,100,94,95,C,
26_125,성남태평대리점,정하윤,010-5157-9387,651209,성남태평 효자동 123-9,1종 대형,무,현대해상,10,96,99,90,C,
26_126,성남태평대리점,김민준,010-3905-1486,761131,성남태평 중앙9길 13,2종 보통,무,DB손해,0,94,90,96,B,
26_127,성남태평대리점,박도현,010-9252-7716,891027,성남태평 효자동 123-9,1종 대형,무,DB손해,6,93,97,98,B,
26_128,성남태평대리점,최이안,010-1811-1681,841167,성남태평 중앙9길 13,1종 보통,무,DB손해,5,95,93,100,A,
26_129,성남태평대리점,송지아,010-1495-6183,641146,성남태평 강남대로 100,1종 보통,무,KB손해,8,99,94,91,B,
26_130,성남태평대리점,강지수,010-1627-8329,951079,성남태평 중앙9길 13,1종 보통,무,DB손해,10,100,99,96,B,
26_131,성남태평대리점,김민준,010-9726-6203,751160,성남태평 중앙9길 13,1종 보통,무,KB손해,1,96,100,92,A,
26_132,성남태평대리점,박도현,010-3375-6136,781146,성남태평 중앙9길 13,1종 대형,무,현대해상,7,92,100,93,A,
26_133,성남태평대리점,한서아,010-9031-7135,841071,성남태평 중앙9길 13,1종 대형,무,KB손해,4,100,98,94,B,
26_134,성남태평대리점,장성우,010-7795-4418,861195,성남태평 강남대로 100,1종 보통,무,DB손해,5,94,90,97,B,
26_135,성남태평대리점,한서아,010-9087-9353,661229,성남태평 효자동 123-9,1종 대형,무,현대해상,7,98,100,93,C,
26_136,성남태평대리점,박도현,010-5270-5444,681205,성남태평 중앙9길 13,1종 보통,무,KB손해,4,90,98,94,A,
26_137,성남태평대리점,한서아,010-1788-5451,971102,성남태평 강남대로 100,1종 보통,무,DB손해,3,97,92,97,C,
26_138,성남태평대리점,정하윤,010-4091-7681,651103,성남태평 효자동 123-9,1종 대형,무,현대해상,4,93,91,93,C,
26_139,성남태평대리점,강지수,010-1909-2521,861152,성남태평 강남대로 100,1종 대형,무,DB손해,3,92,94,98,B,
26_140,성남태평대리점,김민준,010-7915-6382,771045,성남태평 중앙9길 13,2종 보통,무,KB손해,6,98,94,98,C,
26_141,성남태평대리점,이서준,010-7912-5519,941091,성남태평 중앙9길 13,2종 보통,무,현대해상,3,99,97,98,A,
26_142,성남태평대리점,장성우,010-3243-6370,741071,성남태평 강남대로 100,1종 대형,무,현대해상,2,95,94,90,C,
26_143,성남태평대리점,최이안,010-4113-4874,601154,성남태평 중앙9길 13,2종 보통,무,DB손해,5,93,98,94,B,
26_144,성남태평대리점,장병국,010-7531-7143,901138,성남태평 효자동 123-9,1종 보통,무,현대해상,8,91,92,94,C,
26_145,성남태평대리점,정하윤,010-4731-4546,721074,성남태평 강남대로 100,2종 보통,무,현대해상,2,95,99,91,A,
26_146,성남태평대리점,박도현,010-4305-6121,791141,성남태평 강남대로 100,1종 대형,무,DB손해,8,90,97,95,B,
26_147,성남태평대리점,이서준,010-2667-7625,791071,성남태평 중앙9길 13,2종 보통,무,DB손해,10,92,100,90,A,
26_148,성남태평대리점,이서준,010-6323-1443,961111,성남태평 강남대로 100,2종 보통,무,현대해상,4,97,98,92,A,
26_149,성남태평대리점,김민준,010-8065-1629,671195,성남태평 중앙9길 13,2종 보통,무,KB손해,1,100,97,96,C,
26_150,성남태평대리점,김민준,010-9728-2712,531142,성남태평 효자동 123-9,1종 보통,무,현대해상,2,92,95,93,B,
26_151,성남태평대리점,김민준,010-2674-2208,731145,성남태평 중앙9길 13,1종 대형,무,DB손해,1,94,92,93,C,
26_152,성남태평대리점,강지수,010-7012-9850,551072,성남태평 강남대로 100,1종 보통,무,현대해상,7,96,96,100,C,
26_153,성남태평대리점,정하윤,010-3749-5830,941177,성남태평 효자동 123-9,2종 보통,무,현대해상,5,100,94,95,B,
26_154,성남태평대리점,김민준,010-1749-1497,591214,성남태평 강남대로 100,1종 대형,무,KB손해,5,98,100,96,C,
26_155,성남태평대리점,김민준,010-4396-6604,801023,성남태평 효자동 123-9,2종 보통,무,KB손해,2,100,91,92,A,
26_156,성남태평대리점,최이안,010-7110-8935,991170,성남태평 중앙9길 13,1종 보통,무,DB손해,3,93,97,90,A,
26_157,성남태평대리점,정하윤,010-3544-8261,791207,성남태평 효자동 123-9,1종 대형,무,DB손해,3,90,90,91,B,
26_158,성남태평대리점,최이안,010-5993-6424,731166,성남태평 강남대로 100,2종 보통,무,현대해상,7,98,94,97,B,
26_159,성남태평대리점,최이안,010-5510-2755,651221,성남태평 효자동 123-9,1종 보통,무,KB손해,3,97,93,100,A,
26_160,성남태평대리점,박도현,010-2830-7443,731062,성남태평 효자동 123-9,1종 대형,무,현대해상,10,97,90,97,B,
26_161,성남태평대리점,박도현,010-2884-7686,851174,성남태평 중앙9길 13,2종 보통,무,DB손해,8,99,95,95,C,
26_162,성남태평대리점,송지아,010-9783-8972,931145,성남태평 강남대로 100,2종 보통,무,현대해상,0,92,90,95,B,
26_163,성남태평대리점,강지수,010-2359-7213,901195,성남태평 효자동 123-9,2종 보통,무,DB손해,3,93,92,100,A,
26_164,성남태평대리점,이서준,010-8819-2084,571134,성남태평 효자동 123-9,1종 보통,무,KB손해,6,90,97,91,A,
26_165,성남태평대리점,이서준,010-9423-8035,951097,성남태평 강남대로 100,1종 대형,무,DB손해,10,96,99,93,B,
26_166,성남태평대리점,장성우,010-2064-9277,931164,성남태평 효자동 123-9,2종 보통,무,DB손해,5,94,92,93,A,
26_167,성남태평대리점,강지수,010-6824-8248,831161,성남태평 효자동 123-9,1종 대형,무,DB손해,7,93,94,95,C,
26_168,성남태평대리점,정하윤,010-5257-3885,561078,성남태평 강남대로 100,2종 보통,무,DB손해,2,99,98,97,C,
26_169,성남태평대리점,이서준,010-1579-5300,691226,성남태평 효자동 123-9,2종 보통,무,DB손해,9,98,96,98,B,
26_170,성남태평대리점,장성우,010-2257-7995,651169,성남태평 효자동 123-9,1종 대형,무,DB손해,4,100,99,97,B,
26_171,성남태평대리점,최이안,010-5290-3078,501176,성남태평 강남대로 100,1종 보통,무,KB손해,3,92,98,98,A,
26_172,성남태평대리점,박도현,010-5506-6771,911180,성남태평 효자동 123-9,2종 보통,무,KB손해,3,100,99,99,B,
26_173,성남태평대리점,정하윤,010-7656-8404,881213,성남태평 중앙9길 13,1종 대형,무,현대해상,0,90,94,93,B,
26_174,성남태평대리점,김민준,010-1401-1669,741099,성남태평 중앙9길 13,1종 보통,무,KB손해,4,95,95,96,B,
26_175,성남태평대리점,최이안,010-8853-7509,841074,성남태평 중앙9길 13,1종 대형,무,현대해상,7,94,94,94,C,
26_176,성남태평대리점,장성우,010-8001-3186,671040,성남태평 효자동 123-9,1종 대형,무,DB손해,5,95,96,95,A,
26_177,성남태평대리점,송지아,010-2415-2587,651155,성남태평 강남대로 100,1종 대형,무,현대해상,8,92,91,94,A,
26_178,성남태평대리점,장병국,010-9438-5127,881147,성남태평 강남대로 100,2종 보통,무,DB손해,4,99,93,91,C,
26_179,성남태평대리점,장병국,010-8974-3574,621150,성남태평 강남대로 100,2종 보통,무,DB손해,4,98,98,96,C,
26_180,성남태평대리점,강지수,010-8298-8587,791142,성남태평 강남대로 100,1종 보통,무,현대해상,1,91,90,99,C,
26_181,성남태평대리점,김민준,010-3970-8320,711146,성남태평 효자동 123-9,1종 보통,무,KB손해,8,100,95,90,B,
26_182,성남태평대리점,최이안,010-1305-7580,801093,성남태평 중앙9길 13,1종 대형,무,현대해상,5,96,94,90,B,
26_183,성남태평대리점,최이안,010-6474-1352,751202,성남태평 효자동 123-9,1종 대형,무,KB손해,8,98,99,96,A,
26_184,성남태평대리점,장성우,010-2755-1124,871218,성남태평 강남대로 100,2종 보통,무,KB손해,6,96,97,100,A,
26_185,성남태평대리점,김민준,010-8666-3994,881036,성남태평 효자동 123-9,1종 보통,무,현대해상,4,92,95,95,B,
26_186,성남태평대리점,이서준,010-2757-9143,741169,성남태평 중앙9길 13,1종 대형,무,DB손해,9,96,92,98,B,
26_187,성남태평대리점,장병국,010-7516-2562,621098,성남태평 효자동 123-9,1종 대형,무,DB손해,6,95,96,97,C,
26_188,성남태평대리점,이서준,010-6364-2347,541185,성남태평 효자동 123-9,2종 보통,무,현대해상,10,95,97,100,B,
26_189,성남태평대리점,김민준,010-2137-5139,621176,성남태평 중앙9길 13,2종 보통,무,KB손해,6,98,100,92,B,
26_190,성남태평대리점,정하윤,010-9001-9167,521048,성남태평 효자동 123-9,1종 대형,무,DB손해,5,92,93,94,B,
26_191,성남태평대리점,김민준,010-3663-7687,591230,성남태평 효자동 123-9,1종 대형,무,DB손해,0,95,98,92,B,
26_192,성남태평대리점,장성우,010-5386-5815,671092,성남태평 효자동 123-9,2종 보통,무,DB손해,1,99,100,90,C,
26_193,성남태평대리점,최이안,010-2889-8106,531111,성남태평 중앙9길 13,1종 보통,무,현대해상,1,97,91,95,B,
26_194,성남태평대리점,정하윤,010-2756-8563,561205,성남태평 효자동 123-9,2종 보통,무,DB손해,9,97,91,93,B,
26_195,성남태평대리점,이서준,010-2180-1541,701073,성남태평 강남대로 100,1종 보통,무,현대해상,7,90,96,98,B,
26_196,성남태평대리점,이서준,010-1797-3095,751086,성남태평 강남대로 100,1종 보통,무,KB손해,1,98,96,90,C,
26_197,성남태평대리점,송지아,010-2704-4722,571204,성남태평 효자동 123-9,1종 보통,무,DB손해,1,97,90,95,B,
26_198,성남태평대리점,강지수,010-1739-3133,901102,성남태평 강남대로 100,1종 대형,무,현대해상,1,98,98,97,A,
26_199,성남태평대리점,김민준,010-7185-2631,561160,성남태평 강남대로 100,1종 대형,무,DB손해,6,92,90,90,A,
26_200,성남태평대리점,장성우,010-6145-3879,901062,성남태평 중앙9길 13,2종 보통,무,KB손해,8,92,93,96,B,
26_201,경기덕양대리점,장성우,010-3767-4267,521045,경기덕양 중앙9길 13,2종 보통,무,DB손해,4,99,100,93,B,
26_202,경기덕양대리점,박도현,010-3040-2019,931020,경기덕양 강남대로 100,2종 보통,무,현대해상,3,100,94,90,C,
26_203,경기덕양대리점,김민준,010-5694-1296,551212,경기덕양 중앙9길 13,2종 보통,무,현대해상,4,96,90,100,B,
26_204,경기덕양대리점,송지아,010-2333-9569,961099,경기덕양 중앙9길 13,1종 대형,무,DB손해,9,93,99,94,B,
26_205,경기덕양대리점,이서준,010-8641-8665,781104,경기덕양 강남대로 100,1종 보통,무,현대해상,2,97,99,96,C,
26_206,경기덕양대리점,송지아,010-4708-7935,841112,경기덕양 효자동 123-9,2종 보통,무,DB손해,9,97,99,90,A,
26_207,경기덕양대리점,최이안,010-1711-4370,531080,경기덕양 중앙9길 13,2종 보통,무,현대해상,9,96,96,98,C,
26_208,경기덕양대리점,김민준,010-9307-6167,601202,경기덕양 효자동 123-9,2종 보통,무,KB손해,6,99,95,100,A,
26_209,경기덕양대리점,강지수,010-7204-9894,611207,경기덕양 강남대로 100,1종 보통,무,DB손해,9,95,91,100,A,
26_210,경기덕양대리점,박도현,010-4118-4711,561011,경기덕양 중앙9길 13,1종 대형,무,현대해상,1,93,99,99,B,
26_211,경기덕양대리점,박도현,010-4621-8855,801027,경기덕양 효자동 123-9,1종 보통,무,현대해상,1,99,92,100,C,
26_212,경기덕양대리점,송지아,010-9788-8004,811221,경기덕양 중앙9길 13,2종 보통,무,KB손해,0,92,96,92,C,
26_213,경기덕양대리점,강지수,010-4789-7185,961011,경기덕양 강남대로 100,1종 보통,무,KB손해,3,91,99,93,A,
26_214,경기덕양대리점,송지아,010-5018-2314,631072,경기덕양 강남대로 100,1종 대형,무,현대해상,2,98,90,98,C,
26_215,경기덕양대리점,최이안,010-4545-5654,531146,경기덕양 중앙9길 13,1종 대형,무,KB손해,0,93,92,99,C,
26_216,경기덕양대리점,장병국,010-3426-3443,561138,경기덕양 중앙9길 13,1종 대형,무,현대해상,6,92,91,93,B,
